# ContainerLoading Dataset - Hard (500 items)
# Container: 100x100x100 cm  MaxWeight: 500
# Items: 500
# Columns: ID  Width  Height  Depth  Weight  Value
#-------------------------------------------------------
1	12	46	39	80	1760
2	27	8	39	27	594
3	23	31	36	80	3040
4	45	50	32	80	1680
5	41	32	8	67	1675
6	18	38	23	80	720
7	15	45	21	80	1280
8	40	18	10	51	1224
9	29	26	12	48	3024
10	32	16	39	80	1360
11	16	11	7	4	112
12	21	11	43	32	1408
13	28	50	37	80	1280
14	25	28	8	42	1848
15	22	8	13	13	325
16	14	24	7	8	144
17	48	41	25	80	3600
18	50	38	38	80	1360
19	5	28	9	5	200
20	17	42	7	21	168
21	46	22	44	80	5280
22	13	45	34	80	1440
23	36	26	5	22	1254
24	41	43	27	80	880
25	26	19	19	20	540
26	7	24	18	17	204
27	28	41	9	54	1350
28	32	50	33	80	1040
29	15	22	42	37	851
30	24	37	8	29	261
31	26	20	27	36	504
32	45	39	42	80	2240
33	15	5	27	11	176
34	26	37	13	55	2310
35	46	13	20	57	684
36	9	17	24	7	399
37	46	12	27	72	576
38	40	48	10	72	4320
39	15	13	38	56	1008
40	15	12	15	12	288
41	12	35	21	18	810
42	50	31	50	80	3040
43	43	22	22	51	1122
44	40	15	7	21	1050
45	21	10	36	41	902
46	49	12	26	80	5280
47	18	32	42	80	1440
48	29	19	44	80	4800
49	36	28	19	80	5520
50	27	23	15	67	2412
51	40	35	37	80	3680
52	19	27	32	62	1426
53	21	31	16	28	392
54	40	11	24	44	1100
55	6	45	27	17	867
56	9	7	31	6	108
57	17	10	46	52	3432
58	35	16	15	45	1890
59	29	24	49	80	2240
60	31	48	8	80	3520
61	39	22	6	33	528
62	10	23	19	20	600
63	32	41	38	80	960
64	26	24	33	80	3040
65	38	48	49	80	2160
66	6	33	50	28	448
67	43	37	45	80	4080
68	37	35	25	80	5760
69	43	41	45	80	1600
70	49	37	8	80	800
71	16	25	36	47	846
72	31	39	22	80	2560
73	14	5	32	5	110
74	6	42	38	53	1272
75	36	41	42	80	1760
76	45	48	34	80	1440
77	45	35	46	80	3120
78	21	29	42	80	1280
79	9	45	11	9	126
80	8	36	26	46	1104
81	32	41	13	65	1170
82	18	32	25	36	1368
83	19	6	32	22	176
84	39	9	41	80	960
85	36	38	50	80	1600
86	35	29	37	80	2560
87	43	15	25	80	1200
88	7	42	47	80	3840
89	25	25	13	40	840
90	10	11	23	10	240
91	33	15	36	60	660
92	49	47	38	80	800
93	16	5	15	7	238
94	19	36	32	80	2400
95	15	10	39	41	3075
96	6	46	33	34	578
97	18	47	5	19	304
98	48	24	10	30	900
99	20	8	22	12	228
100	32	27	40	80	1280
101	15	10	19	14	560
102	40	23	7	24	240
103	33	15	42	80	1120
104	35	40	39	80	1840
105	16	6	39	10	270
106	7	30	44	47	1128
107	18	19	48	80	5280
108	50	50	22	80	5280
109	37	6	42	72	1080
110	15	22	50	74	1110
111	50	17	12	74	2812
112	34	47	18	80	3360
113	12	43	46	76	1900
114	45	13	30	80	1520
115	10	25	44	43	1032
116	40	15	24	76	1976
117	31	23	47	80	1120
118	47	25	47	80	3120
119	7	26	50	27	540
120	11	5	24	3	54
121	7	15	49	33	528
122	37	26	45	80	4320
123	47	17	7	43	946
124	42	19	48	80	1440
125	10	32	13	15	315
126	36	12	23	63	3024
127	49	14	29	80	3840
128	14	17	33	60	1320
129	41	12	49	80	1920
130	46	43	12	80	4560
131	41	22	39	80	3680
132	41	39	7	59	2124
133	40	41	5	26	676
134	50	9	49	70	1120
135	32	42	37	80	6000
136	26	28	46	80	1520
137	15	39	20	40	3000
138	19	25	46	80	1440
139	26	22	21	45	1890
140	46	37	32	80	3520
141	24	5	29	21	315
142	30	28	37	62	1178
143	24	36	13	52	884
144	39	12	16	33	1584
145	34	48	36	80	5760
146	9	44	48	80	3120
147	11	47	28	80	1520
148	32	43	35	80	1840
149	29	5	13	7	133
150	18	10	7	3	126
151	17	37	45	80	1600
152	27	12	21	28	672
153	16	30	25	70	1610
154	30	6	8	4	84
155	45	8	12	17	1122
156	10	38	50	80	2560
157	22	9	50	39	1989
158	31	15	11	30	1890
159	25	19	42	80	1680
160	29	44	33	80	1840
161	31	20	39	68	2448
162	27	33	11	64	576
163	33	43	15	80	800
164	6	20	40	37	1443
165	25	7	43	45	900
166	27	50	11	34	1496
167	45	19	8	24	1008
168	44	18	46	80	3200
169	41	11	7	7	147
170	36	11	26	76	2280
171	45	48	42	80	1840
172	41	22	7	43	2709
173	39	17	16	39	897
174	50	32	41	80	5040
175	24	45	31	80	1520
176	41	30	25	80	3360
177	14	24	7	11	209
178	36	12	19	38	1140
179	34	32	16	80	1360
180	7	24	8	6	240
181	34	42	42	80	2400
182	28	20	27	80	1920
183	43	7	37	23	506
184	47	33	48	80	3360
185	26	50	16	78	3120
186	8	45	26	70	4410
187	6	20	21	19	494
188	13	21	50	80	5040
189	15	8	45	20	220
190	46	30	15	44	3036
191	45	17	31	80	1280
192	5	48	49	70	1260
193	12	26	9	14	420
194	13	49	32	80	3520
195	6	7	31	7	112
196	45	36	17	80	1280
197	25	38	44	80	3600
198	15	27	49	80	1600
199	39	37	46	80	2560
200	16	12	34	16	624
201	38	17	7	9	126
202	19	43	41	80	1440
203	45	21	11	53	2014
204	10	9	18	7	238
205	23	47	12	56	728
206	27	18	35	80	1760
207	34	14	33	80	3680
208	39	17	50	80	880
209	46	22	27	64	704
210	46	6	29	24	552
211	21	41	5	24	816
212	16	11	38	20	360
213	48	37	44	80	2400
214	48	23	8	69	3519
215	6	44	9	16	528
216	18	11	10	14	168
217	18	34	8	36	504
218	24	26	40	80	4800
219	47	43	17	80	3520
220	38	25	12	78	1248
221	35	18	48	80	4080
222	5	42	13	11	242
223	46	50	37	80	3360
224	16	13	40	52	988
225	18	39	11	49	1617
226	29	29	13	22	1452
227	43	21	14	35	2415
228	32	8	40	34	782
229	5	34	48	19	912
230	34	10	37	74	740
231	13	46	13	24	288
232	48	37	17	80	5040
233	22	7	18	13	702
234	38	11	38	65	1365
235	25	43	44	80	3680
236	29	14	43	80	1200
237	29	26	33	80	640
238	19	37	46	80	5280
239	10	38	14	15	165
240	44	43	40	80	1840
241	9	26	43	48	576
242	12	50	16	22	1650
243	45	22	20	80	1120
244	41	9	42	80	3040
245	42	29	26	80	5040
246	40	27	29	80	2400
247	40	37	22	80	2080
248	48	12	9	40	680
249	42	22	26	80	1600
250	46	33	26	80	1680
