# ContainerLoading Dataset - Medium (100 items)
# Container: 100x100x100 cm  MaxWeight: 500
# Items: 100
# Columns: ID  Width  Height  Depth  Weight  Value
#-------------------------------------------------------
1	33	36	28	80	1360
2	27	37	23	80	3040
3	44	5	20	12	252
4	9	47	40	56	1400
5	24	10	32	54	1836
6	24	31	10	35	525
7	33	9	41	65	1625
8	8	44	39	31	434
9	32	11	41	80	960
10	13	49	44	80	5760
11	11	49	37	80	880
12	43	23	25	80	800
13	25	17	37	42	336
14	37	49	40	80	1440
15	37	21	48	80	880
16	49	38	39	80	640
17	10	13	30	25	600
18	18	13	27	49	637
19	24	22	37	80	2080
20	24	25	19	80	640
21	43	26	33	80	3520
22	23	31	20	80	3200
23	29	15	35	80	3040
24	19	11	31	34	1088
25	25	12	40	79	2607
26	33	5	25	25	1100
27	31	22	8	23	1587
28	34	28	27	77	1694
29	21	24	21	24	336
30	26	13	34	29	1044
31	40	12	43	80	4000
32	39	27	13	39	1521
33	15	11	25	19	209
34	13	47	15	41	328
35	45	5	37	56	728
36	45	28	10	80	2880
37	39	29	23	80	640
38	44	32	40	80	1760
39	38	11	13	23	1012
40	49	5	6	8	144
41	38	34	28	80	2720
42	30	15	24	47	893
43	38	42	13	80	4320
44	29	44	47	80	6000
45	44	23	46	80	1840
46	10	20	47	69	4140
47	40	23	18	68	1292
48	21	46	15	50	1600
49	50	44	49	80	1760
50	11	13	20	14	630
51	8	5	42	8	96
52	35	15	41	47	517
53	19	44	32	80	640
54	40	20	12	47	1081
55	23	13	29	34	272
56	19	43	5	29	696
57	46	10	50	65	1950
58	43	41	5	43	1075
59	29	50	33	80	1920
60	37	31	39	80	640
61	13	25	31	56	1680
62	20	29	19	49	1764
63	5	23	24	7	147
64	46	43	30	80	1840
65	14	13	38	16	160
66	27	9	18	34	1700
67	43	48	31	80	3840
68	12	26	38	57	1083
69	11	22	9	9	108
70	12	29	11	14	140
71	9	28	48	57	1197
72	25	50	30	80	880
73	46	35	19	80	2560
74	50	8	32	80	2240
75	33	13	24	78	702
76	20	12	23	38	1672
77	34	20	33	80	4560
78	12	25	26	46	1288
79	5	25	31	10	90
80	37	40	38	80	4000
81	17	45	23	80	1920
82	28	50	14	76	1824
83	8	50	31	80	1280
84	26	46	39	80	2720
85	41	26	8	63	4347
86	48	50	43	80	1360
87	19	41	37	80	2880
88	44	9	6	12	228
89	21	6	38	32	512
90	49	46	8	80	800
91	24	45	43	80	3120
92	43	40	25	80	1120
93	36	15	40	80	800
94	42	16	28	71	2840
95	15	40	39	80	960
96	39	38	15	80	640
97	40	45	37	80	2240
98	30	32	47	80	640
99	33	19	10	39	741
100	32	17	13	41	738
